Name,Team,Batting_Hand,Matches,Innings,Runs,Highest,Average,BF,SR,100,4,6
Ruturaj Gaikwad,Chennai Super Kings,Right,6,6,204,72,51,169,120.71,0,16,6
KL Rahul,Punjab Kings,Right,81,72,2647,132,44.86,1949,135.81,2,234,104
David Warner,Sunrisers Hyderabad,Left,142,142,5254,126,42.72,3712,141.54,4,511,194
Jonny Bairstow,Sunrisers Hyderabad,Right,21,21,790,114,41.58,555,142.34,1,79,31
Chris Gayle,Punjab Kings,Left,132,131,4772,175,41.14,3179,150.11,6,384,349
MS Dhoni,Chennai Super Kings,Right,204,182,4632,84,40.99,3387,136.76,0,313,216
AB de Villiers,Royal Challengers Bangalore,Right,169,156,4849,133,40.41,3192,151.91,3,390,235
Kane Williamson,Sunrisers Hyderabad,Right,53,52,1619,89,39.49,1201,134.8,0,136,54
Virat Kohli,Royal Challengers Bangalore,Right,192,184,5878,113,38.17,4496,130.74,5,503,201
Steven Smith,Delhi Capitals,Right,95,86,2333,101,35.35,1805,129.25,1,212,58
Rishabh Pant,Delhi Capitals,Left,68,68,2079,128,35.24,1368,151.97,1,183,103
Jos Buttler,Rajasthan Royals,Right,58,57,1714,95,34.98,1146,149.56,0,167,77
Shikhar Dhawan,Delhi Capitals,Left,176,175,5196,106,34.18,4096,126.86,2,591,108
Chris Lynn,Mumbai Indians,Right,41,41,1280,93,33.68,910,140.66,0,128,63
David Miller,Rajasthan Royals,Left,80,78,1850,101,33.64,1333,138.78,1,126,87
Shubman Gill,Kolkata Knight Riders,Right,41,38,939,76,33.54,750,125.2,0,87,24
Suresh Raina,Chennai Super Kings,Left,193,189,5368,100,33.34,3915,137.11,1,493,194
Faf du Plessis,Chennai Super Kings,Right,84,77,2302,96,32.89,1781,129.25,0,205,73
Nicholas Pooran,Punjab Kings,Left,21,20,521,77,32.56,315,165.4,0,32,39
Basil Thampi,Sunrisers Hyderabad,Right,20,8,32,13,32,35,91.43,0,1,1
Mitchell Santner,Chennai Super Kings,Left,6,2,32,22,32,23,139.13,0,0,3
Ajinkya Rahane,Delhi Capitals,Right,149,140,3933,105,31.72,3240,121.39,2,416,76
Quinton de Kock,Mumbai Indians,Left,66,66,1959,108,31.6,1467,133.54,1,201,76
Devdutt Padikkal,Royal Challengers Bangalore,Left,15,15,473,74,31.53,379,124.8,0,51,8
Shreyas Iyer,Delhi Capitals,Right,79,79,2200,96,31.43,1745,126.07,0,189,83
Rohit Sharma,Mumbai Indians,Right,200,195,5230,109,31.32,4004,130.62,1,458,213
Rahul Tewatia,Rajasthan Royals,Left,34,23,366,53,30.5,272,134.56,0,24,20
Suryakumar Yadav,Mumbai Indians,Right,101,86,2024,79,30.21,1504,134.57,0,221,58
Hardik Pandya,Mumbai Indians,Right,80,74,1349,91,29.98,847,159.27,0,86,93
Kieron Pollard,Mumbai Indians,Right,164,147,3023,83,29.93,2017,149.88,0,196,198
Andre Russell,Kolkata Knight Riders,Right,74,61,1517,88,29.75,832,182.33,0,105,129
Vijay Shankar,Sunrisers Hyderabad,Right,40,34,654,63,29.73,512,127.73,0,44,25
Manish Pandey,Sunrisers Hyderabad,Right,146,135,3268,114,29.71,2686,121.67,1,287,93
Ambati Rayudu,Chennai Super Kings,Right,159,151,3659,100,29.51,2902,126.09,1,308,132
Ishan Kishan,Mumbai Indians,Left,51,46,1211,99,28.83,885,136.84,0,100,64
Moises Henriques,Punjab Kings,Right,57,50,969,74,28.5,756,128.17,0,87,27
Marcus Stoinis,Delhi Capitals,Right,46,42,825,65,28.45,601,137.27,0,65,34
Robin Uthappa,Chennai Super Kings,Right,189,182,4607,87,27.92,3544,129.99,0,454,163
Sanju Samson,Rajasthan Royals,Right,107,103,2584,102,27.78,1932,133.75,2,191,115
Nitish Rana,Kolkata Knight Riders,Left,60,55,1437,87,27.63,1060,135.57,0,127,72
Saurabh Tiwary,Mumbai Indians,Left,88,70,1379,61,27.58,1147,120.23,0,101,48
Jagadeesha Suchith,Sunrisers Hyderabad,Left,15,7,54,34,27,47,114.89,0,4,2
Tom Curran,Delhi Capitals,Right,10,8,106,54,26.5,90,117.78,0,8,3
Ben Stokes,Rajasthan Royals,Left,42,41,920,107,26.29,681,135.1,2,79,32
Dinesh Karthik,Kolkata Knight Riders,Right,196,177,3823,97,26.01,2949,129.64,0,377,105
Sarfaraz Khan,Punjab Kings,Right,38,26,441,67,25.94,315,140,0,50,11
Wriddhiman Saha,Sunrisers Hyderabad,Right,124,99,1979,115,25.7,1499,132.02,1,184,64
Eoin Morgan,Kolkata Knight Riders,Left,66,59,1272,68,25.44,1007,126.32,0,104,58
Ravindra Jadeja,Chennai Super Kings,Left,184,139,2159,50,25.4,1706,126.55,0,157,76
Rahul Tripathi,Kolkata Knight Riders,Right,45,44,988,93,25.33,733,134.79,0,95,37
Krunal Pandya,Mumbai Indians,Left,71,60,1000,86,24.39,702,142.45,0,95,40
Karun Nair,Kolkata Knight Riders,Right,73,66,1480,83,24.26,1153,128.36,0,160,39
Chris Morris,Rajasthan Royals,Right,70,44,551,82,23.96,349,157.88,0,39,30
Manan Vohra,Rajasthan Royals,Right,49,45,1012,95,23.53,768,131.77,0,97,39
